timestamp,open,high,low,close,volume,close_p1,close_p2,close_p3,close_p4,close_p5,close_p6,close_p7,close_p8,close_p9,close_p10,close_p11
2017-01-06 14:37:00+05:30,84.17,84.23,84.17,84.17,8315,84.17,84.13,84.17,84.23,84.17,84.17,84.13,84.23,84.17,84.17,84.13
2017-01-06 14:38:00+05:30,84.17,84.23,84.13,84.17,12971,84.13,84.17,84.23,84.17,84.17,84.13,84.23,84.17,84.17,84.13,84.17
2017-01-06 14:39:00+05:30,84.2,84.27,84.13,84.13,8913,84.17,84.23,84.17,84.17,84.13,84.23,84.17,84.17,84.13,84.17,84.27
2017-01-06 14:40:00+05:30,84.13,84.2,84.13,84.17,12014,84.23,84.17,84.17,84.13,84.23,84.17,84.17,84.13,84.17,84.27,84.3
2017-01-06 14:41:00+05:30,84.2,84.23,84.13,84.23,11577,84.17,84.17,84.13,84.23,84.17,84.17,84.13,84.17,84.27,84.3,84.23
2017-01-06 14:42:00+05:30,84.27,84.27,84.13,84.17,8600,84.17,84.13,84.23,84.17,84.17,84.13,84.17,84.27,84.3,84.23,84.17
2017-01-06 14:43:00+05:30,84.17,84.17,84.13,84.17,23402,84.13,84.23,84.17,84.17,84.13,84.17,84.27,84.3,84.23,84.17,84.23
2017-01-06 14:44:00+05:30,84.13,84.17,84.13,84.13,51194,84.23,84.17,84.17,84.13,84.17,84.27,84.3,84.23,84.17,84.23,84.2
2017-01-06 14:45:00+05:30,84.13,84.23,84.13,84.23,46493,84.17,84.17,84.13,84.17,84.27,84.3,84.23,84.17,84.23,84.2,84.17
2017-01-06 14:46:00+05:30,84.17,84.23,84.13,84.17,13008,84.17,84.13,84.17,84.27,84.3,84.23,84.17,84.23,84.2,84.17,84.13
2017-01-06 14:47:00+05:30,84.2,84.23,84.13,84.17,12299,84.13,84.17,84.27,84.3,84.23,84.17,84.23,84.2,84.17,84.13,84.13
2017-01-06 14:48:00+05:30,84.17,84.23,84.13,84.13,9734,84.17,84.27,84.3,84.23,84.17,84.23,84.2,84.17,84.13,84.13,84.13
2017-01-06 14:49:00+05:30,84.13,84.23,84.13,84.17,17714,84.27,84.3,84.23,84.17,84.23,84.2,84.17,84.13,84.13,84.13,84.07
2017-01-06 14:50:00+05:30,84.17,84.3,84.17,84.27,16601,84.3,84.23,84.17,84.23,84.2,84.17,84.13,84.13,84.13,84.07,84.17
2017-01-06 14:51:00+05:30,84.3,84.33,84.23,84.3,35759,84.23,84.17,84.23,84.2,84.17,84.13,84.13,84.13,84.07,84.17,84.37
2017-01-06 14:52:00+05:30,84.3,84.33,84.2,84.23,13779,84.17,84.23,84.2,84.17,84.13,84.13,84.13,84.07,84.17,84.37,84.3
2017-01-06 14:53:00+05:30,84.27,84.3,84.17,84.17,23670,84.23,84.2,84.17,84.13,84.13,84.13,84.07,84.17,84.37,84.3,84.27
2017-01-06 14:54:00+05:30,84.2,84.27,84.2,84.23,8561,84.2,84.17,84.13,84.13,84.13,84.07,84.17,84.37,84.3,84.27,84.2
2017-01-06 14:55:00+05:30,84.27,84.27,84.2,84.2,37047,84.17,84.13,84.13,84.13,84.07,84.17,84.37,84.3,84.27,84.2,84.2
2017-01-06 14:56:00+05:30,84.2,84.23,84.13,84.17,12659,84.13,84.13,84.13,84.07,84.17,84.37,84.3,84.27,84.2,84.2,84.2
